timestamp=2024-08-11T10:24:23.802239, cpu_temp=61.762, battery_percentage=0, battery_voltage_now=2.97306, battery_voltage_avg=2.89943, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.626
timestamp=2024-08-11T10:25:05.592876, cpu_temp=64.452, battery_percentage=100, battery_voltage_now=2.8457, battery_voltage_avg=2.97505, battery_current_now=-1.172, battery_current_avg=0.0, charger_voltage_now=7.28098, charger_current_now=0.0
timestamp=2024-08-11T10:25:21.105795, cpu_temp=63.914, battery_percentage=100, battery_voltage_now=2.97306, battery_voltage_avg=2.97704, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.33612, charger_current_now=0.592
timestamp=2024-08-11T10:25:37.444006, cpu_temp=64.452, battery_percentage=0, battery_voltage_now=2.95117, battery_voltage_avg=2.98699, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.56947, charger_current_now=0.62
timestamp=2024-08-11T10:25:50.587026, cpu_temp=64.452, battery_percentage=0, battery_voltage_now=2.97505, battery_voltage_avg=2.98699, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=6.20511, charger_current_now=0.604
timestamp=2024-08-11T10:26:05.736369, cpu_temp=63.376, battery_percentage=0, battery_voltage_now=2.9452, battery_voltage_avg=2.93724, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.584
timestamp=2024-08-11T10:26:20.578636, cpu_temp=63.376, battery_percentage=0, battery_voltage_now=2.96112, battery_voltage_avg=2.96112, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.37582, charger_current_now=0.332
timestamp=2024-08-11T10:26:36.516223, cpu_temp=63.376, battery_percentage=0, battery_voltage_now=2.9452, battery_voltage_avg=2.96112, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.3123, charger_current_now=0.62
timestamp=2024-08-11T10:26:51.557271, cpu_temp=64.452, battery_percentage=0, battery_voltage_now=2.9452, battery_voltage_avg=2.96112, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.626
timestamp=2024-08-11T10:27:18.260513, cpu_temp=64.452, battery_percentage=0, battery_voltage_now=2.97505, battery_voltage_avg=2.96112, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.10983, charger_current_now=0.398
timestamp=2024-08-11T10:27:33.240901, cpu_temp=64.99, battery_percentage=0, battery_voltage_now=2.93326, battery_voltage_avg=2.96112, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.562
timestamp=2024-08-11T10:27:47.565139, cpu_temp=64.452, battery_percentage=0, battery_voltage_now=2.95117, battery_voltage_avg=2.80391, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=5.33965, charger_current_now=0.558
timestamp=2024-08-11T10:28:03.230376, cpu_temp=64.99, battery_percentage=0, battery_voltage_now=2.91933, battery_voltage_avg=2.91137, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.43
timestamp=2024-08-11T10:28:18.064950, cpu_temp=64.452, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.83973, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.42
timestamp=2024-08-11T10:28:32.718410, cpu_temp=64.452, battery_percentage=0, battery_voltage_now=2.91535, battery_voltage_avg=2.83973, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.402
timestamp=2024-08-11T10:28:48.359067, cpu_temp=64.452, battery_percentage=0, battery_voltage_now=2.89346, battery_voltage_avg=2.91535, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.288
