timestamp=2024-08-13T09:15:35.360347, cpu_temp=60.686, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.432
timestamp=2024-08-13T09:15:43.987680, cpu_temp=59.072, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.432
timestamp=2024-08-13T09:15:54.274658, cpu_temp=58.534, battery_percentage=94, battery_voltage_now=4.08746, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.43
timestamp=2024-08-13T09:16:03.636488, cpu_temp=59.072, battery_percentage=94, battery_voltage_now=4.08746, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.43
timestamp=2024-08-13T09:16:14.170096, cpu_temp=59.072, battery_percentage=88, battery_voltage_now=4.15711, battery_voltage_avg=4.08746, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.426
timestamp=2024-08-13T09:16:23.492913, cpu_temp=59.072, battery_percentage=88, battery_voltage_now=4.15711, battery_voltage_avg=4.08746, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.426
timestamp=2024-08-13T09:16:33.696155, cpu_temp=59.072, battery_percentage=95, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.052, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.434
timestamp=2024-08-13T09:16:44.004743, cpu_temp=59.072, battery_percentage=95, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.052, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.434
timestamp=2024-08-13T09:16:54.192078, cpu_temp=59.072, battery_percentage=92, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.036, battery_current_avg=0.052, charger_voltage_now=4.59726, charger_current_now=0.434
timestamp=2024-08-13T09:17:03.705674, cpu_temp=59.61, battery_percentage=92, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.036, battery_current_avg=0.052, charger_voltage_now=4.59726, charger_current_now=0.434
timestamp=2024-08-13T09:17:14.188212, cpu_temp=60.148, battery_percentage=92, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.044, battery_current_avg=0.036, charger_voltage_now=4.59726, charger_current_now=0.426
timestamp=2024-08-13T09:17:23.551514, cpu_temp=60.148, battery_percentage=92, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.044, battery_current_avg=0.036, charger_voltage_now=4.59726, charger_current_now=0.426
timestamp=2024-08-13T09:17:33.899797, cpu_temp=60.148, battery_percentage=92, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.088, battery_current_avg=0.044, charger_voltage_now=4.59726, charger_current_now=0.434
timestamp=2024-08-13T09:17:44.106694, cpu_temp=60.148, battery_percentage=92, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.088, battery_current_avg=0.044, charger_voltage_now=4.59726, charger_current_now=0.434
timestamp=2024-08-13T09:17:54.286261, cpu_temp=60.148, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.092, battery_current_avg=0.088, charger_voltage_now=4.63696, charger_current_now=0.438
timestamp=2024-08-13T09:18:04.472652, cpu_temp=60.686, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.092, battery_current_avg=0.088, charger_voltage_now=4.63696, charger_current_now=0.438
timestamp=2024-08-13T09:18:14.773323, cpu_temp=60.148, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.1, battery_current_avg=0.092, charger_voltage_now=4.59726, charger_current_now=0.446
timestamp=2024-08-13T09:18:25.101657, cpu_temp=60.686, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.1, battery_current_avg=0.092, charger_voltage_now=4.59726, charger_current_now=0.446
timestamp=2024-08-13T09:18:35.253617, cpu_temp=60.686, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.1, battery_current_avg=0.1, charger_voltage_now=4.59726, charger_current_now=0.446
timestamp=2024-08-13T09:18:44.916338, cpu_temp=61.224, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.1, battery_current_avg=0.1, charger_voltage_now=4.59726, charger_current_now=0.446
timestamp=2024-08-13T09:18:55.110067, cpu_temp=61.224, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.176, battery_current_avg=0.1, charger_voltage_now=4.59726, charger_current_now=0.452
timestamp=2024-08-13T09:19:05.287401, cpu_temp=61.224, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.176, battery_current_avg=0.1, charger_voltage_now=4.59726, charger_current_now=0.452
timestamp=2024-08-13T09:19:14.824417, cpu_temp=61.224, battery_percentage=87, battery_voltage_now=4.1392, battery_voltage_avg=4.15711, battery_current_now=0.04, battery_current_avg=0.176, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:19:24.992590, cpu_temp=61.224, battery_percentage=87, battery_voltage_now=4.1392, battery_voltage_avg=4.15711, battery_current_now=0.04, battery_current_avg=0.176, charger_voltage_now=4.59726, charger_current_now=0.462
